season,pats_rate,league_rate,pats_n,league_n
2006,,0.28936742934051146,0,743
2007,,0.35419440745672437,0,751
2008,,0.3593314763231198,0,718
2009,,0.3732303732303732,0,777
2010,,0.3452054794520548,0,730
2011,,0.27361111111111114,0,720
2012,,0.2810810810810811,0,740
2013,,0.3081924577373212,0,769
2014,,0.29941860465116277,0,688
2015,,0.315028901734104,0,692
2016,,0.34054834054834054,0,693
2017,,0.32540861812778604,0,673
2018,,0.4435612082670906,0,629
2019,0.22727272727272727,0.49568221070811747,22,579
2020,0.4090909090909091,0.5496987951807228,22,664
2021,0.47619047619047616,0.5833333333333334,21,744
2022,0.3333333333333333,0.5252263906856404,21,773
2023,0.3076923076923077,0.5634178905206942,26,749
2024,0.5714285714285714,0.591715976331361,21,676
