season,game_id,play_id,field_pos,yards_to_go,score_diff,time_remaining,actual_decision,ex_ante_optimal,ex_post_optimal,ex_ante_match,ex_post_match,models_agree,ex_ante_confidence,ex_ante_margin,ex_post_margin,ex_ante_wp_go,ex_ante_wp_punt,ex_ante_wp_fg,train_start,train_end,posteam,defteam,week,season_type,home_team,away_team,game_date,qtr,desc,decision_clarity,confidence_category,coach_wrong,mistake_type,wp_cost
2021,2021_06_BUF_TEN,4041.0,3,1,-3,22,go_for_it,field_goal,field_goal,False,False,True,1.0,0.3433415713923494,0.3491790340796748,0.12540867597261385,0.08549050718848183,0.46875024736496324,1999,2020,BUF,TEN,6.0,REG,TEN,BUF,2021-10-18,4.0,(:22) 17-J.Allen up the middle to TEN 3 for no gain (98-J.Simmons).,clear,obvious,True,egregious,0.3433415713923494
2016,2016_03_BAL_JAX,3968.0,49,2,-1,134,go_for_it,punt,punt,False,False,True,1.0,0.26770666303550705,0.25908647491526415,0.13438155040529687,0.4020882134408039,0.0,1999,2015,,,,,,,,,,clear,obvious,True,egregious,0.26770666303550705
2020,2020_03_DAL_SEA,4554.0,47,3,-1,157,go_for_it,punt,punt,False,False,True,1.0,0.26688857039215785,0.2669055934018074,0.17118174445686382,0.43807031484902165,0.0,1999,2019,SEA,DAL,3.0,REG,SEA,DAL,2020-09-27,4.0,(2:37) (Shotgun) 3-R.Wilson pass short middle to 88-G.Olsen to DAL 36 for 11 yards (25-X.Woods).,clear,obvious,True,egregious,0.26688857039215785
2012,2012_07_DAL_CAR,3674.0,60,1,-2,131,go_for_it,punt,punt,False,False,True,1.0,0.260421496666537,0.25945238710733115,0.111288706778052,0.37171020344458905,0.0,1999,2011,,,,,,,,,,clear,obvious,True,egregious,0.260421496666537
2020,2020_04_DEN_NYJ,4322.0,50,3,-2,125,go_for_it,punt,punt,False,False,True,1.0,0.24754947395521348,0.24779442593619852,0.136350478063903,0.3838999520191165,0.0,1999,2019,NYJ,DEN,4.0,REG,NYJ,DEN,2020-10-01,4.0,(2:05) (Shotgun) 14-S.Darnold sacked at NYJ 43 for -7 yards (55-B.Chubb).,clear,obvious,True,egregious,0.24754947395521348
2017,2017_15_TEN_SF,3921.0,53,1,-2,154,go_for_it,punt,punt,False,False,True,1.0,0.2418378934862802,0.24437152607251117,0.10808197940625107,0.3499198728925313,0.0,1999,2016,,,,,,,,,,clear,obvious,True,egregious,0.2418378934862802
2011,2011_14_SF_ARI,4132.0,59,1,-2,130,go_for_it,punt,punt,False,False,True,1.0,0.24055000736850268,0.2395165315904106,0.09636914216449312,0.3369191495329958,0.0,1999,2010,,,,,,,,,,clear,obvious,True,egregious,0.24055000736850268
2021,2021_11_BAL_CHI,4005.0,54,1,-2,162,go_for_it,punt,punt,False,False,True,1.0,0.22030076920808397,0.2177421088827379,0.14553784293796143,0.3658386121460454,0.0,1999,2020,CHI,BAL,11.0,REG,CHI,BAL,2021-11-21,4.0,(2:42) (Shotgun) 14-A.Dalton pass short left to 11-D.Mooney to BAL 48 for 6 yards (44-M.Humphrey).,clear,obvious,True,egregious,0.22030076920808397
2019,2019_02_PHI_ATL,3990.0,54,3,-3,140,go_for_it,punt,punt,False,False,True,1.0,0.20742912365009322,0.20809530061150822,0.11270031878687445,0.32012944243696767,0.0,1999,2018,ATL,PHI,2.0,REG,ATL,PHI,2019-09-15,4.0,"(2:20) (Shotgun) 2-M.Ryan pass short left to 11-J.Jones for 54 yards, TOUCHDOWN.",clear,obvious,True,egregious,0.20742912365009322
2021,2021_04_TEN_NYJ,4867.0,66,1,-3,139,go_for_it,punt,punt,False,False,True,1.0,0.20598612326794516,0.20378916807574632,0.07941611121159078,0.28540223447953594,0.0,1999,2020,TEN,NYJ,4.0,REG,NYJ,TEN,2021-10-03,5.0,(2:19) 22-D.Henry right end to TEN 47 for 13 yards (40-J.Guidry).,clear,obvious,True,egregious,0.20598612326794516
2024,2024_04_DEN_NYJ,4147.0,77,4,1,160,punt,go_for_it,go_for_it,False,False,True,1.0,0.19662160154141278,0.19372845715218395,0.6747190232129285,0.47809742167151575,0.0,1999,2023,DEN,NYJ,4.0,REG,NYJ,DEN,2024-09-29,4.0,"(2:40) 9-R.Dixon punts 46 yards to NYJ 31, Center-48-M.Fraboni. 82-X.Gipson ran ob at NYJ 33 for 2 yards (43-K.Smith).",clear,obvious,True,egregious,0.19662160154141278
2023,2023_13_CAR_TB,4152.0,60,1,-3,141,go_for_it,punt,punt,False,False,True,1.0,0.1943905835553606,0.20076207067670665,0.07597142447026604,0.27036200802562665,0.0,1999,2022,CAR,TB,13.0,REG,TB,CAR,2023-12-03,4.0,(2:21) (Shotgun) 9-B.Young pass deep right intended for 19-A.Thielen INTERCEPTED by 31-A.Winfield [94-C.Kancey] at TB 43. 31-A.Winfield ran ob at TB 43 for no gain.,clear,obvious,True,egregious,0.1943905835553606
2007,2007_02_SF_STL,3242.0,57,7,-1,160,go_for_it,punt,punt,False,False,True,1.0,0.19268821220681331,0.1971224786196753,0.22396429968170034,0.41665251188851365,0.0,1999,2006,,,,,,,,,,clear,obvious,True,egregious,0.19268821220681331
2017,2017_14_BAL_PIT,4298.0,68,3,2,154,punt,go_for_it,go_for_it,False,False,True,1.0,0.1884705852962294,0.1900125007582204,0.7540654001066635,0.565594814810434,0.0,1999,2016,,,,,,,,,,clear,obvious,True,egregious,0.1884705852962294
2022,2022_15_ATL_NO,3644.0,50,5,-3,133,go_for_it,punt,punt,False,False,True,1.0,0.18764475767040534,0.18363158323640064,0.12400301799382768,0.311647775664233,0.0,1999,2021,ATL,NO,15.0,REG,NO,ATL,2022-12-18,4.0,"(2:13) (Shotgun) 4-D.Ridder pass short middle to 5-D.London to NO 38 for 12 yards (30-J.Evans). FUMBLES (30-J.Evans), RECOVERED by NO-21-B.Roby at NO 35. 21-B.Roby to NO 39 for 4 yards (5-D.London).",clear,obvious,True,egregious,0.18764475767040534
2019,2019_13_MIN_SEA,3887.0,58,3,-4,151,go_for_it,punt,punt,False,False,True,1.0,0.1869306573329463,0.1884741932087528,0.09935058165030072,0.28628123898324703,0.0,1999,2018,MIN,SEA,13.0,REG,SEA,MIN,2019-12-02,4.0,(2:31) (Shotgun) 8-K.Cousins pass incomplete short left to 84-I.Smith.,clear,obvious,True,egregious,0.1869306573329463
2023,2023_14_NE_PIT,3817.0,51,2,-3,121,go_for_it,punt,punt,False,False,True,1.0,0.1856417539839637,0.19215375524567208,0.08388989173748533,0.26953164572144905,0.0,1999,2022,PIT,NE,14.0,REG,PIT,NE,2023-12-07,4.0,(2:01) (Shotgun) 10-M.Trubisky pass incomplete deep left to 18-D.Johnson.,clear,obvious,True,egregious,0.1856417539839637
2010,2010_13_PIT_BAL,3725.0,74,2,-3,125,go_for_it,punt,punt,False,False,True,1.0,0.18226050565331053,0.17826443852376284,0.07907012740343179,0.2613306330567423,0.0,1999,2009,,,,,,,,,,clear,obvious,True,egregious,0.18226050565331053
2023,2023_02_GB_ATL,3964.0,23,1,-2,128,go_for_it,field_goal,field_goal,False,False,True,1.0,0.1820265167913277,0.1825532874460184,0.1279725752736992,0.33131601015576434,0.513342526947092,1999,2022,ATL,GB,2.0,REG,ATL,GB,2023-09-17,4.0,(2:08) 7-B.Robinson right end to GB 16 for 7 yards (20-R.Ford).,clear,obvious,True,egregious,0.1820265167913277
2019,2019_17_CHI_MIN,3382.0,51,9,-1,156,go_for_it,punt,punt,False,False,True,1.0,0.18005187496874048,0.17792987180595266,0.22019497552782585,0.40024685049656633,0.0,1999,2018,CHI,MIN,17.0,REG,MIN,CHI,2019-12-29,4.0,(2:36) (Shotgun) 10-M.Trubisky pass deep right to 88-R.Ridley to MIN 19 for 32 yards (38-K.Boyd).,clear,obvious,True,egregious,0.18005187496874048
2024,2024_17_SEA_CHI,3616.0,40,10,-3,20,go_for_it,field_goal,field_goal,False,False,True,1.0,0.17904785309590718,0.18233315515390502,0.06693400683491785,0.08031457855150473,0.2593624316474119,1999,2023,CHI,SEA,17.0,REG,CHI,SEA,2024-12-26,4.0,(:20) (Shotgun) 18-C.Williams pass deep right intended for 2-D.Moore INTERCEPTED by 27-T.Woolen (8-C.Bryant) [8-C.Bryant] at SEA 22. 27-T.Woolen pushed ob at SEA 29 for 7 yards (85-C.Kmet).,clear,obvious,True,egregious,0.17904785309590718
2022,2022_05_IND_DEN,4724.0,5,1,-3,158,go_for_it,field_goal,field_goal,False,False,True,1.0,0.17577127741455295,0.1736981953933147,0.14302883080753254,0.2835814910747277,0.45935276848928064,1999,2021,DEN,IND,5.0,REG,DEN,IND,2022-10-06,5.0,(2:38) (Shotgun) 3-R.Wilson pass incomplete short middle to 14-C.Sutton (5-S.Gilmore).,clear,obvious,True,egregious,0.17577127741455295
2008,2008_08_TB_DAL,3786.0,65,1,-4,151,go_for_it,punt,punt,False,False,True,1.0,0.1756892500537265,0.17050969465890364,0.06958417035428771,0.2452734204080142,0.0,1999,2007,,,,,,,,,,clear,obvious,True,egregious,0.1756892500537265
2006,2006_12_SF_STL,3579.0,71,1,-4,151,go_for_it,punt,punt,False,False,True,1.0,0.17423913315823678,0.16468589837623382,0.0723098955921036,0.24654902875034038,0.0,1999,2005,,,,,,,,,,clear,obvious,True,egregious,0.17423913315823678
2010,2010_02_MIA_MIN,3355.0,1,1,-4,141,go_for_it,field_goal,field_goal,False,False,True,1.0,0.16853549704302906,0.16956304867607402,0.1281124347494349,0.2786186634815001,0.44715416052452917,1999,2009,,,,,,,,,,clear,obvious,True,egregious,0.16853549704302906
2024,2024_17_SEA_CHI,3408.0,65,5,-3,134,go_for_it,punt,punt,False,False,True,1.0,0.16830803392992463,0.1709719009004696,0.11087248277221465,0.2791805167021393,0.0,1999,2023,CHI,SEA,17.0,REG,CHI,SEA,2024-12-26,4.0,(2:14) (Shotgun) 18-C.Williams pass short right to 2-D.Moore pushed ob at CHI 49 for 14 yards (21-D.Witherspoon).,clear,obvious,True,egregious,0.16830803392992463
