Metric,Era 1 (2006-2012),Era 2 (2019-2024)
Total 4th downs,"26,644","22,573"
Go-for-it rate,12.8%,19.2%
Punt rate,63.8%,55.7%
FG rate,23.4%,25.0%
Overall optimal rate,75.9%,72.6%
Optimal rate | went for it,25.6%,34.6%
Optimal rate | punted,83.9%,80.2%
Optimal rate | kicked FG,81.6%,85.1%
Avg WP lost per decision,0.272 pp,0.336 pp
Compliance in obvious go situations,32.0%,44.1%
Compliance in obvious punt situations,96.5%,94.3%
Over-aggressive rate (went for it when suboptimal),9.5%,12.6%
Under-aggressive rate (didnt go when should have),71.3%,59.7%
