season,n_total,n_go,n_correct,go_rate,correct_rate
2006,743,215,434,0.28936742934051146,0.5841184387617766
2007,751,266,427,0.35419440745672437,0.5685752330226365
2008,718,258,436,0.3593314763231198,0.6072423398328691
2009,777,290,462,0.3732303732303732,0.5945945945945946
2010,730,252,436,0.3452054794520548,0.5972602739726027
2011,720,197,422,0.27361111111111114,0.5861111111111111
2012,740,208,455,0.2810810810810811,0.6148648648648649
2013,769,237,477,0.3081924577373212,0.6202860858257477
2014,688,206,415,0.29941860465116277,0.6031976744186046
2015,692,218,386,0.315028901734104,0.5578034682080925
2016,693,236,426,0.34054834054834054,0.6147186147186147
2017,673,219,396,0.32540861812778604,0.5884101040118871
2018,629,279,373,0.4435612082670906,0.5930047694753577
2019,601,292,332,0.4858569051580699,0.5524126455906821
2020,686,374,394,0.5451895043731778,0.5743440233236151
2021,765,444,434,0.5803921568627451,0.5673202614379085
2022,794,413,454,0.5201511335012594,0.5717884130982368
2023,775,430,428,0.5548387096774193,0.552258064516129
2024,697,412,352,0.5911047345767575,0.5050215208034433
