season,game_id,play_id,field_pos,yards_to_go,score_diff,time_remaining,actual_decision,ex_ante_optimal,ex_post_optimal,ex_ante_match,ex_post_match,models_agree,ex_ante_confidence,ex_ante_margin,ex_post_margin,ex_ante_wp_go,ex_ante_wp_punt,ex_ante_wp_fg,train_start,train_end,posteam,defteam,week,season_type,home_team,away_team,game_date,qtr,desc,decision_clarity,confidence_category,coach_wrong,mistake_type,wp_cost,controversy_score
2012,2012_16_TEN_GB,3713.0,56,6,-55,295,punt,go_for_it,go_for_it,False,False,True,0.617,1.3290345519603007e-08,5.253735284402079e-10,1.507159613070954e-06,1.493869267551351e-06,0.0,1999,2011,,,,,,,,,,close_call,lean,True,difference_of_opinion,1.3290345519603007e-08,999.9867098311113
2009,2009_06_TEN_NE,3743.0,42,2,59,252,punt,go_for_it,go_for_it,False,False,True,0.84,2.0773741837842863e-08,2.5905546596760587e-09,0.9999994324184729,0.999999411644731,0.9999993792885471,1999,2008,,,,,,,,,,close_call,clear,True,difference_of_opinion,2.0773741837842863e-08,999.9792266897015
2009,2009_06_TEN_NE,3597.0,41,1,-59,422,go_for_it,field_goal,field_goal,False,False,True,0.651,2.3683562405341438e-08,4.101853887702376e-08,1.2630691955856225e-06,1.109894017255475e-06,1.286752757990964e-06,1999,2008,,,,,,,,,,close_call,lean,True,difference_of_opinion,2.3683562405341438e-08,999.9763169984925
2009,2009_05_OAK_NYG,3452.0,49,2,37,127,punt,go_for_it,go_for_it,False,False,True,0.518,1.4391799485480306e-07,6.883391822087859e-07,0.9998887246786785,0.9998885807606837,0.0,1999,2008,,,,,,,,,,close_call,toss_up,True,difference_of_opinion,1.4391799485480306e-07,999.8561027145539
2024,2024_01_CAR_NO,4153.0,48,3,37,142,punt,go_for_it,punt,False,True,False,0.537,1.5599407454658376e-07,7.842442434347063e-07,0.9999218318666029,0.9999216758725283,0.0,1999,2023,NO,CAR,1.0,REG,NO,CAR,2024-09-08,4.0,"(2:22) 43-M.Hayball punts 35 yards to CAR 13, Center-49-Z.Wood, out of bounds.",close_call,toss_up,True,difference_of_opinion,1.5599407454658376e-07,999.8440302558093
2015,2015_08_MIA_NE,4046.0,62,2,29,84,punt,go_for_it,punt,False,True,False,0.498,3.257717419158368e-07,6.69332963199043e-06,0.9992233002129942,0.9992229744412523,0.0,1999,2014,,,,,,,,,,close_call,toss_up,True,difference_of_opinion,3.257717419158368e-07,999.67433435075
2009,2009_06_TEN_NE,3408.0,11,7,59,700,go_for_it,field_goal,field_goal,False,False,True,1.0,3.261715538771526e-07,2.752116002868732e-07,0.999998249052594,0.9999973852586718,0.9999985752241479,1999,2008,,,,,,,,,,close_call,obvious,True,difference_of_opinion,3.261715538771526e-07,999.673934799316
2013,2013_13_NO_SEA,3875.0,46,1,27,265,go_for_it,punt,go_for_it,False,True,False,0.499,4.0294127112705524e-07,6.7076458977188835e-06,0.9987819496870759,0.998782352628347,0.9986811442334812,1999,2012,,,,,,,,,,close_call,toss_up,True,difference_of_opinion,4.0294127112705524e-07,999.597221025145
2021,2021_16_WAS_DAL,3863.0,25,2,-49,243,go_for_it,field_goal,field_goal,False,False,True,0.941,5.976369178027661e-07,8.670616200093909e-07,9.680715999775664e-06,5.453578682342086e-06,1.027835291757843e-05,1999,2020,WAS,DAL,16.0,REG,DAL,WAS,2021-12-26,4.0,(4:03) (Shotgun) 8-K.Allen pass short left to 13-A.Humphries to DAL 19 for 6 yards (25-N.Wright).,close_call,clear,True,difference_of_opinion,5.976369178027661e-07,999.4027200387524
2011,2011_05_TB_SF,3360.0,42,8,-38,604,punt,field_goal,field_goal,False,False,True,0.547,8.823408398256111e-07,2.130534787495627e-06,0.0001532692341223189,0.00015498228177493267,0.00015586462261475828,1999,2010,,,,,,,,,,close_call,toss_up,True,difference_of_opinion,8.823408398256111e-07,999.1184369992128
2024,2024_11_JAX_DET,3980.0,23,2,46,120,go_for_it,field_goal,field_goal,False,False,True,1.0,8.940312223870706e-07,1.1112875745178386e-06,0.9999948825157634,0.9999921802325343,0.9999957765469858,1999,2023,DET,JAX,11.0,REG,DET,JAX,2024-11-17,4.0,(2:00) 2-H.Hooker up the middle to JAX 20 for 3 yards (93-T.Lacy).,close_call,obvious,True,difference_of_opinion,8.940312223870706e-07,999.106767355486
2019,2019_12_BAL_LA,3390.0,55,1,36,632,go_for_it,punt,punt,False,False,True,0.537,8.94156450659267e-07,1.3202144116819525e-06,0.9997082686016691,0.9997091627581197,0.0,1999,2018,BAL,LA,12.0,REG,LA,BAL,2019-11-25,4.0,(10:32) New QB BAL #3 R.Griffin. (Shotgun) 35-G.Edwards up the middle to BAL 46 for 1 yard (52-C.Matthews; 99-A.Donald).,close_call,toss_up,True,difference_of_opinion,8.94156450659267e-07,999.1066423508455
2024,2024_18_KC_DEN,3249.0,66,6,-38,442,punt,go_for_it,punt,False,True,False,0.629,9.667420812300466e-07,4.323120662510263e-07,9.193815702409602e-05,9.097141494286598e-05,0.0,1999,2023,KC,DEN,18.0,REG,DEN,KC,2025-01-05,4.0,"(7:22) 14-M.Araiza punts 48 yards to DEN 18, Center-41-J.Winchester, fair catch by 19-M.Mims.",close_call,lean,True,difference_of_opinion,9.667420812300466e-07,999.0341916063865
2021,2021_16_WAS_DAL,3251.0,21,1,-42,1039,go_for_it,field_goal,field_goal,False,False,True,0.552,9.95300100719936e-07,1.4042234287387233e-05,0.0002852107739428669,0.00016422754768719627,0.00028620607404358686,1999,2020,WAS,DAL,16.0,REG,DAL,WAS,2021-12-26,3.0,(2:19) (Shotgun) 4-T.Heinicke pass incomplete short middle to 13-A.Humphries (30-A.Brown).,close_call,toss_up,True,difference_of_opinion,9.95300100719936e-07,999.0056895365843
2009,2009_14_DET_BAL,3940.0,23,1,45,80,go_for_it,field_goal,field_goal,False,False,True,0.999,1.1085559623591479e-06,1.2872095150884277e-06,0.9999898208342871,0.9999838576202358,0.9999909293902495,1999,2008,,,,,,,,,,close_call,obvious,True,difference_of_opinion,1.1085559623591479e-06,998.8926715731707
