team,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Average
CLE,0.273,0.305,0.182,0.405,0.44,0.323,0.186,0.492,0.193,0.274,0.214,0.214,0.38,0.467,0.341,0.369,0.38,0.246,0.759,0.339
NYJ,0.333,0.389,0.341,0.495,0.652,0.189,0.278,0.176,0.353,0.224,0.37,0.306,0.157,0.287,0.12,0.19,0.247,0.694,0.513,0.332
TEN,0.378,0.242,0.268,0.391,0.284,0.443,0.37,0.337,0.291,0.531,0.259,0.22,0.213,0.384,0.306,0.315,0.313,0.395,0.309,0.329
BAL,0.248,0.387,0.347,0.479,0.249,0.163,0.229,0.303,0.31,0.364,0.366,0.272,1.041,0.255,0.183,0.166,0.339,0.365,0.098,0.324
NYG,0.287,0.318,0.286,0.078,0.227,0.239,0.171,0.274,0.177,0.289,0.369,0.625,0.19,0.374,0.267,0.356,0.196,0.137,1.175,0.318
JAX,0.265,0.474,0.33,0.302,0.165,0.346,0.321,0.215,0.326,0.284,0.527,0.241,0.218,0.301,0.295,0.389,0.429,0.304,0.208,0.313
ATL,0.309,0.35,0.15,0.314,0.206,0.145,0.204,0.325,0.234,0.339,0.239,0.329,0.149,0.116,0.395,0.242,0.156,0.981,0.669,0.308
CHI,0.117,0.334,0.35,0.202,0.136,0.086,0.114,0.139,0.265,0.212,0.306,0.185,0.202,0.442,0.461,0.319,0.589,0.808,0.464,0.302
KC,0.31,0.303,0.267,0.556,0.448,0.204,0.282,0.277,0.259,0.223,0.205,0.24,0.156,0.187,0.234,0.152,0.277,0.374,0.67,0.296
BUF,0.264,0.339,0.257,0.337,0.318,0.23,0.21,0.213,0.241,0.251,0.318,0.317,0.329,0.469,0.157,0.717,0.129,0.097,0.322,0.29
WAS,0.239,0.46,0.32,0.282,0.275,0.208,0.293,0.26,0.201,0.289,0.598,0.195,0.234,0.116,0.311,0.405,0.304,0.233,0.282,0.29
LAC,0.39,0.151,0.213,0.118,0.248,0.251,0.244,0.352,0.214,0.247,0.672,0.34,0.188,0.178,0.217,0.537,0.342,0.338,0.233,0.288
LV,0.257,0.324,0.251,0.212,0.276,0.267,0.276,0.179,0.201,0.177,0.386,0.259,0.399,0.241,0.354,0.12,0.463,0.402,0.369,0.285
DET,0.371,0.049,0.121,0.202,0.444,0.155,0.103,0.274,0.385,0.175,0.196,0.29,0.313,0.225,0.049,0.474,0.472,0.391,0.508,0.274
CAR,0.176,0.189,0.073,0.162,0.509,0.585,0.185,0.127,0.169,0.141,0.191,0.328,0.206,0.144,0.632,0.357,0.361,0.489,0.129,0.271
MIN,0.533,0.196,0.183,0.097,0.301,0.359,0.1,0.365,0.301,0.194,0.194,0.218,0.168,0.104,0.253,0.485,0.346,0.48,0.259,0.27
PIT,0.306,0.151,0.366,0.228,0.215,0.141,0.326,0.178,0.258,0.339,0.159,0.072,0.136,0.343,0.188,0.616,0.252,0.226,0.608,0.269
NE,0.225,0.244,0.236,0.264,0.159,0.264,0.169,0.291,0.241,0.131,0.432,0.454,0.263,0.361,0.173,0.102,0.318,0.38,0.295,0.263
ARI,0.292,0.281,0.244,0.114,0.259,0.192,0.482,0.098,0.392,0.106,0.087,0.353,0.101,0.24,0.272,0.275,0.333,0.413,0.344,0.257
CIN,0.111,0.253,0.16,0.355,0.258,0.79,0.342,0.235,0.205,0.111,0.366,0.123,0.338,0.251,0.224,0.168,0.117,0.219,0.247,0.256
PHI,0.125,0.15,0.209,0.198,0.199,0.258,0.151,0.141,0.167,0.174,0.382,0.21,0.445,0.407,0.458,0.215,0.441,0.244,0.249,0.254
DEN,0.237,0.219,0.111,0.211,0.229,0.281,0.187,0.039,0.296,0.353,0.218,0.126,0.245,0.283,0.151,0.26,0.851,0.244,0.196,0.249
LA,0.221,0.159,0.384,0.425,0.175,0.309,0.162,0.214,0.387,0.155,0.204,0.177,0.248,0.211,0.24,0.243,0.283,0.237,0.296,0.249
MIA,0.106,0.308,0.285,0.585,0.316,0.293,0.196,0.26,0.223,0.163,0.095,0.146,0.14,0.273,0.097,0.215,0.382,0.227,0.369,0.246
SEA,0.27,0.275,0.113,0.299,0.221,0.164,0.359,0.15,0.395,0.103,0.196,0.247,0.226,0.238,0.188,0.327,0.385,0.187,0.265,0.243
GB,0.21,0.246,0.319,0.255,0.265,0.191,0.219,0.279,0.06,0.232,0.169,0.207,0.122,0.224,0.455,0.278,0.432,0.215,0.212,0.242
TB,0.168,0.344,0.254,0.211,0.287,0.109,0.104,0.173,0.354,0.134,0.241,0.256,0.298,0.318,0.118,0.128,0.465,0.21,0.41,0.241
HOU,0.186,0.129,0.235,0.154,0.302,0.33,0.165,0.225,0.194,0.241,0.489,0.141,0.321,0.143,0.251,0.267,0.294,0.293,0.195,0.24
IND,0.086,0.209,0.179,0.115,0.259,0.174,0.148,0.159,0.114,0.265,0.098,0.31,0.319,0.327,0.463,0.259,0.285,0.448,0.327,0.239
DAL,0.12,0.151,0.112,0.086,0.277,0.311,0.355,0.19,0.095,0.396,0.282,0.23,0.244,0.231,0.238,0.295,0.3,0.197,0.312,0.233
NO,0.227,0.194,0.142,0.23,0.146,0.263,0.126,0.352,0.531,0.238,0.129,0.146,0.257,0.136,0.165,0.253,0.147,0.311,0.273,0.224
