team,season,wp_cost,is_mistake,is_clear_mistake,n_plays,expected_wins_lost
ARI,2006,0.2920153549400688,20,5,118,0.2920153549400688
ARI,2007,0.2813911655695086,29,1,117,0.2813911655695086
ARI,2008,0.24438330002734476,24,4,99,0.24438330002734476
ARI,2009,0.11440078062941786,19,1,111,0.11440078062941786
ARI,2010,0.2587207022712142,25,2,138,0.2587207022712142
ARI,2011,0.19164370869172093,24,3,129,0.19164370869172093
ARI,2012,0.4821377141069077,31,5,160,0.4821377141069077
ARI,2013,0.09767445637257624,14,0,121,0.09767445637257624
ARI,2014,0.3920643911336825,24,6,128,0.3920643911336825
ARI,2015,0.1057364536007876,23,1,95,0.1057364536007876
ARI,2016,0.08666356502050006,13,1,102,0.08666356502050006
ARI,2017,0.352543260550521,25,4,141,0.352543260550521
ARI,2018,0.10121534103341256,23,1,126,0.10121534103341256
ARI,2019,0.24028197264481319,24,3,110,0.24028197264481319
ARI,2020,0.272466317101862,20,3,109,0.272466317101862
ARI,2021,0.27487283569372667,25,6,111,0.27487283569372667
ARI,2022,0.33300405328675364,34,4,137,0.33300405328675364
ARI,2023,0.4134251745729795,33,5,128,0.4134251745729795
ARI,2024,0.3435527216020141,14,5,103,0.3435527216020141
ATL,2006,0.3085713744563778,29,4,129,0.3085713744563778
ATL,2007,0.3500837623504141,37,5,141,0.3500837623504141
ATL,2008,0.1500503807791576,19,2,107,0.1500503807791576
ATL,2009,0.31370056268725727,34,5,113,0.31370056268725727
ATL,2010,0.20640891267002423,16,1,118,0.20640891267002423
ATL,2011,0.14456899244404375,16,2,111,0.14456899244404375
ATL,2012,0.20401373222925798,18,2,103,0.20401373222925798
ATL,2013,0.3253399431004686,23,5,108,0.3253399431004686
ATL,2014,0.23449097332961905,24,4,109,0.23449097332961905
ATL,2015,0.3393855513808139,24,6,108,0.3393855513808139
ATL,2016,0.23949984362283278,19,4,97,0.23949984362283278
ATL,2017,0.32857733261121935,18,3,103,0.32857733261121935
ATL,2018,0.1485039258607563,24,1,105,0.1485039258607563
ATL,2019,0.11635203783969637,21,1,110,0.11635203783969637
ATL,2020,0.3947817812684616,26,6,116,0.3947817812684616
ATL,2021,0.24184578336243912,27,3,115,0.24184578336243912
ATL,2022,0.15577618530334664,15,1,110,0.15577618530334664
ATL,2023,0.9810976560692168,23,2,127,0.9810976560692168
ATL,2024,0.668689827981358,30,10,116,0.668689827981358
BAL,2006,0.24812267440484012,24,4,125,0.24812267440484012
BAL,2007,0.38736988102130865,29,5,129,0.38736988102130865
BAL,2008,0.3468361134373794,29,6,128,0.3468361134373794
BAL,2009,0.47860804201881113,18,6,114,0.47860804201881113
BAL,2010,0.24854806196691753,16,5,120,0.24854806196691753
BAL,2011,0.1628694652920116,13,2,114,0.1628694652920116
BAL,2012,0.22860426753699423,19,3,127,0.22860426753699423
BAL,2013,0.3027992871359884,24,3,147,0.3027992871359884
BAL,2014,0.3096546976118265,23,2,109,0.3096546976118265
BAL,2015,0.36424680556289935,36,5,131,0.36424680556289935
BAL,2016,0.36608243664227386,27,6,134,0.36608243664227386
BAL,2017,0.27249686155835307,18,2,136,0.27249686155835307
BAL,2018,1.041055827674401,19,6,118,1.041055827674401
BAL,2019,0.2547151865317615,23,3,93,0.2547151865317615
BAL,2020,0.1831521142877146,22,0,96,0.1831521142877146
BAL,2021,0.16556502223067496,18,1,129,0.16556502223067496
BAL,2022,0.33851243970524036,27,4,116,0.33851243970524036
BAL,2023,0.3652956571845716,24,6,114,0.3652956571845716
BAL,2024,0.09802211894052226,11,1,96,0.09802211894052226
BUF,2006,0.26422191311726545,23,4,125,0.26422191311726545
BUF,2007,0.3393746463810623,32,5,124,0.3393746463810623
BUF,2008,0.2570264648730295,25,5,109,0.2570264648730295
BUF,2009,0.3373458049180752,22,3,135,0.3373458049180752
BUF,2010,0.31795944223918965,31,5,118,0.31795944223918965
BUF,2011,0.22993786797494614,28,4,121,0.22993786797494614
BUF,2012,0.2104099220609781,18,2,107,0.2104099220609781
BUF,2013,0.21340312877199175,26,1,145,0.21340312877199175
BUF,2014,0.24073955708618966,24,3,135,0.24073955708618966
BUF,2015,0.25144529325945697,27,4,123,0.25144529325945697
BUF,2016,0.31846820095356093,24,7,113,0.31846820095356093
BUF,2017,0.31722839516865153,17,1,126,0.31722839516865153
BUF,2018,0.3294243846222097,27,6,126,0.3294243846222097
BUF,2019,0.4694941194971617,31,7,124,0.4694941194971617
BUF,2020,0.15681044865558563,11,3,82,0.15681044865558563
BUF,2021,0.7169137017878471,28,7,104,0.7169137017878471
BUF,2022,0.12855389629577785,9,2,86,0.12855389629577785
BUF,2023,0.09743568791418267,17,1,96,0.09743568791418267
BUF,2024,0.3224095990043875,22,5,105,0.3224095990043875
CAR,2006,0.1756277030416561,15,2,130,0.1756277030416561
CAR,2007,0.18923893774612088,29,2,133,0.18923893774612088
CAR,2008,0.07348270204885625,16,0,112,0.07348270204885625
CAR,2009,0.1620803643171435,21,2,123,0.1620803643171435
CAR,2010,0.5089549130067526,39,8,146,0.5089549130067526
CAR,2011,0.5849457541678287,29,9,101,0.5849457541678287
