game_id,play_id,season,week,posteam,defteam,score_diff_pre_td,time_remaining,actual_decision,decision_success,ex_ante_optimal,ex_ante_wp_margin,ex_ante_prob_2pt_better,ex_post_optimal,ex_post_wp_margin,ex_post_prob_2pt_better,coach_agrees_ex_ante,coach_agrees_ex_post,ex_ante_agrees_ex_post,category
2016_01_BUF_BAL,1173.0,2016,1,BAL,BUF,3.0,2411.0,pat,1,two_point,0.007690941420525732,1.0,pat,0.0010200637178157113,0.012,False,True,False,hindsight_only
2016_01_BUF_BAL,1547.0,2016,1,BUF,BAL,-10.0,1982.0,pat,1,two_point,0.0008021916070907187,0.603,two_point,0.003539466043467221,1.0,False,False,True,knowable_mistake
2016_01_CAR_DEN,460.0,2016,1,CAR,DEN,0.0,3133.0,pat,1,pat,0.015368679979893773,0.0,pat,0.0002666999982349205,0.241,True,True,True,correct
2016_01_CAR_DEN,963.0,2016,1,DEN,CAR,-7.0,2536.0,pat,1,two_point,0.009682154908189633,1.0,pat,0.0006711131149506611,0.1495,False,True,False,hindsight_only
2016_01_CAR_DEN,1494.0,2016,1,CAR,DEN,0.0,1981.0,pat,1,pat,0.026338488761121437,0.0,pat,0.0012033433621184697,0.0295,True,True,True,correct
2016_01_CAR_DEN,2753.0,2016,1,DEN,CAR,-10.0,890.0,pat,1,two_point,0.017842582258227213,1.0,two_point,0.0011025109130061717,0.853,False,False,True,knowable_mistake
2016_01_CAR_DEN,3152.0,2016,1,DEN,CAR,-3.0,566.0,pat,1,two_point,0.014565716765343573,0.9995,pat,0.003836344967239058,0.0005,False,True,False,hindsight_only
2016_01_CHI_HOU,454.0,2016,1,CHI,HOU,0.0,3118.0,pat,1,two_point,0.00011835493643641559,0.519,pat,0.0002786345077313568,0.229,False,True,False,hindsight_only
2016_01_CHI_HOU,1550.0,2016,1,HOU,CHI,-4.0,1994.0,pat,1,two_point,0.001403023761918587,0.6145,pat,0.0007224370660678936,0.188,False,True,False,hindsight_only
2016_01_CHI_HOU,1980.0,2016,1,CHI,HOU,-3.0,1807.0,pat,1,pat,0.00020453036571677075,0.491,pat,0.0010815223530955542,0.088,True,True,True,correct
2016_01_CHI_HOU,3132.0,2016,1,HOU,CHI,-1.0,764.0,pat,1,pat,0.00063894244637408,0.4545,pat,0.00275936342454286,0.0,True,True,True,correct
2016_01_CIN_NYJ,439.0,2016,1,NYJ,CIN,0.0,3160.0,pat,1,pat,0.013219022384940438,0.0,two_point,0.000533939768616154,0.92,True,False,False,correct
