year,era,n_decisions,strict_optimal_rate,defensible_optimal_rate
2013,pre,1394,0.7797704447632712,0.9978479196556671
2014,pre,1349,0.6375092661230541,0.9681245366938473
2015,post,1357,0.46720707442888726,0.8459837877671333
2016,post,1361,0.43791329904481996,0.8317413666421749
2017,post,1283,0.5120810600155885,0.7864380358534684
2018,post,1418,0.573342736248237,0.8610719322990127
2019,post,1384,0.5578034682080925,0.8735549132947977
2020,post,1538,0.5539661898569571,0.9499349804941483
2021,post,1481,0.5577312626603647,0.9142471303173532
2022,post,1381,0.559015206372194,0.9348298334540188
2023,post,1370,0.5817518248175182,0.9773722627737226
2024,post,1450,0.5462068965517242,0.9855172413793103
