season,game_id,play_id,field_pos,yards_to_go,score_diff,time_remaining,actual_decision,ex_ante_optimal,ex_post_optimal,ex_ante_match,ex_post_match,models_agree,ex_ante_confidence,ex_ante_margin,ex_post_margin,ex_ante_wp_go,ex_ante_wp_punt,ex_ante_wp_fg,train_start,train_end,posteam,defteam,week,season_type,home_team,away_team,game_date,qtr,desc,decision_clarity,confidence_category,coach_wrong,mistake_type,wp_cost
2018,2018_16_BAL_LAC,2113.0,47,7,3,1803,field_goal,punt,punt,False,False,True,1.0,0.02495411938405434,0.02877034405857093,0.606569396911648,0.6315235162957024,0.0,1999,2017,,,,,,,,,,moderate,obvious,True,questionable,0.6315235162957024
2024,2024_04_KC_LAC,2144.0,47,10,-3,1804,field_goal,punt,punt,False,False,True,1.0,0.03978842276736144,0.04068543724093676,0.40046628492544356,0.440254707692805,0.0,1999,2023,KC,LAC,4.0,REG,LAC,KC,2024-09-29,2.0,"(:04) 7-H.Butker 65 yard field goal is No Good, Short, Center-41-J.Winchester, Holder-14-M.Araiza.",moderate,obvious,True,questionable,0.440254707692805
2023,2023_02_GB_ATL,3964.0,23,1,-2,128,go_for_it,field_goal,field_goal,False,False,True,1.0,0.1820265167913277,0.1825532874460184,0.1279725752736992,0.33131601015576434,0.513342526947092,1999,2022,ATL,GB,2.0,REG,ATL,GB,2023-09-17,4.0,(2:08) 7-B.Robinson right end to GB 16 for 7 yards (20-R.Ford).,clear,obvious,True,egregious,0.38536995167339283
2021,2021_06_BUF_TEN,4041.0,3,1,-3,22,go_for_it,field_goal,field_goal,False,False,True,1.0,0.3433415713923494,0.3491790340796748,0.12540867597261385,0.08549050718848183,0.46875024736496324,1999,2020,BUF,TEN,6.0,REG,TEN,BUF,2021-10-18,4.0,(:22) 17-J.Allen up the middle to TEN 3 for no gain (98-J.Simmons).,clear,obvious,True,egregious,0.3433415713923494
2024,2024_12_PIT_CLE,3693.0,38,3,-1,156,go_for_it,field_goal,field_goal,False,False,True,1.0,0.04599708026768973,0.047334876184427443,0.17487106114610268,0.4520199544733963,0.49801703474108605,1999,2023,CLE,PIT,12.0,REG,CLE,PIT,2024-11-21,4.0,(2:36) (Shotgun) 5-J.Winston pass short left to 3-J.Jeudy to PIT 33 for 5 yards (24-J.Porter).,moderate,obvious,True,questionable,0.32314597359498337
2016,2016_05_SD_OAK,3831.0,18,1,-3,127,go_for_it,field_goal,field_goal,False,False,True,1.0,0.15400226742738932,0.1632705060691994,0.11570311273981976,0.28250191781637995,0.43650418524376927,1999,2015,,,,,,,,,,clear,obvious,True,egregious,0.3208010725039495
2010,2010_02_MIA_MIN,3355.0,1,1,-4,141,go_for_it,field_goal,field_goal,False,False,True,1.0,0.16853549704302906,0.16956304867607402,0.1281124347494349,0.2786186634815001,0.44715416052452917,1999,2009,,,,,,,,,,clear,obvious,True,egregious,0.31904172577509426
2022,2022_05_IND_DEN,4724.0,5,1,-3,158,go_for_it,field_goal,field_goal,False,False,True,1.0,0.17577127741455295,0.1736981953933147,0.14302883080753254,0.2835814910747277,0.45935276848928064,1999,2021,DEN,IND,5.0,REG,DEN,IND,2022-10-06,5.0,(2:38) (Shotgun) 3-R.Wilson pass incomplete short middle to 14-C.Sutton (5-S.Gilmore).,clear,obvious,True,egregious,0.3163239376817481
2017,2017_05_GB_DAL,3512.0,20,1,-4,136,go_for_it,field_goal,field_goal,False,False,True,1.0,0.14274936550867784,0.1466671528894456,0.10344129376766431,0.2576315749704639,0.40038094047914174,1999,2016,,,,,,,,,,clear,obvious,True,egregious,0.29693964671147743
2020,2020_07_CAR_NO,3610.0,47,19,-3,120,field_goal,punt,punt,False,False,True,1.0,0.03867091269794393,0.03800312174338677,0.25417513477357623,0.29284604747152015,0.0,1999,2019,CAR,NO,7.0,REG,NO,CAR,2020-10-25,4.0,"(2:00) 4-J.Slye 65 yard field goal is No Good, Short, Center-44-J.Jansen, Holder-3-J.Charlton.",moderate,obvious,True,questionable,0.29284604747152015
2014,2014_08_MIN_TB,3679.0,8,1,-4,155,go_for_it,field_goal,field_goal,False,False,True,1.0,0.15226607370007558,0.15822296081157286,0.11193566555388476,0.2394044943346247,0.3916705680347003,1999,2013,,,,,,,,,,clear,obvious,True,egregious,0.27973490248081556
2016,2016_03_BAL_JAX,3968.0,49,2,-1,134,go_for_it,punt,punt,False,False,True,1.0,0.26770666303550705,0.25908647491526415,0.13438155040529687,0.4020882134408039,0.0,1999,2015,,,,,,,,,,clear,obvious,True,egregious,0.26770666303550705
2020,2020_03_DAL_SEA,4554.0,47,3,-1,157,go_for_it,punt,punt,False,False,True,1.0,0.26688857039215785,0.2669055934018074,0.17118174445686382,0.43807031484902165,0.0,1999,2019,SEA,DAL,3.0,REG,SEA,DAL,2020-09-27,4.0,(2:37) (Shotgun) 3-R.Wilson pass short middle to 88-G.Olsen to DAL 36 for 11 yards (25-X.Woods).,clear,obvious,True,egregious,0.26688857039215785
2012,2012_07_DAL_CAR,3674.0,60,1,-2,131,go_for_it,punt,punt,False,False,True,1.0,0.260421496666537,0.25945238710733115,0.111288706778052,0.37171020344458905,0.0,1999,2011,,,,,,,,,,clear,obvious,True,egregious,0.260421496666537
2020,2020_17_DAL_NYG,4069.0,34,2,-4,152,go_for_it,field_goal,field_goal,False,False,True,1.0,0.10004516487287407,0.10589652742376288,0.09781831617928384,0.24694404885559568,0.34698921372846975,1999,2019,DAL,NYG,17.0,REG,NYG,DAL,2021-01-03,4.0,(2:32) (Shotgun) 14-A.Dalton left end ran ob at NYG 23 for 11 yards (29-X.McKinney).,clear,obvious,True,egregious,0.24917089754918592
