season,Ex Ante Correct,Ex Ante Rate,Ex Post Correct,Ex Post Rate,Agreement Rate,N Plays
2006,2912,0.761,2685,0.701,0.907,3829
2007,2813,0.749,2646,0.704,0.93,3758
2008,2848,0.775,2626,0.715,0.893,3674
2009,2923,0.759,2742,0.712,0.916,3849
2010,2988,0.778,2769,0.721,0.916,3840
2011,3028,0.788,2844,0.74,0.908,3845
2012,2961,0.775,2801,0.733,0.94,3820
2013,3053,0.782,2918,0.747,0.946,3904
2014,2853,0.763,2744,0.734,0.926,3740
2015,2801,0.732,2786,0.729,0.962,3824
2016,2860,0.772,2772,0.749,0.958,3703
2017,2955,0.764,2888,0.746,0.976,3869
2018,2716,0.76,2659,0.744,0.954,3574
2019,2681,0.738,2670,0.735,0.974,3634
2020,2593,0.762,2460,0.723,0.924,3402
2021,2787,0.738,2691,0.712,0.925,3777
2022,2920,0.755,2797,0.723,0.924,3870
2023,2994,0.74,2918,0.721,0.945,4047
2024,2778,0.726,2774,0.725,0.952,3827
