position_clean,salary,war,n_players,dollars_per_war,deviation_from_mean,pct_deviation
CF,2998443409.604576,405.4,156,7396259.027144983,619051.6060948167,9.134316948482768
SS,1405183345.7151532,191.5,152,7337772.040288006,560564.6192378392,8.271321569658795
RF,1309155863.396607,181.0,78,7232905.322633187,455697.9015830206,6.7239774920804685
3B,1585271409.3464725,224.7,139,7055057.451475179,277850.0304250121,4.0997716782579685
LF,2500907537.1358123,354.5,168,7054746.2260530675,277538.8050029008,4.095179441326513
1B,35487216432.913864,5209.8,3027,6811627.400843384,34419.97979321703,0.5078785059212887
C,11984397833.425379,1786.6,701,6707935.650635498,-69271.77041466907,-1.022128527444932
Pitcher,41678225521.220764,6219.6,4684,6701110.283815802,-76097.13723436464,-1.1228391357479328
2B,1355617084.2737083,206.7,179,6558379.701372561,-218827.71967760567,-3.2288774134007103
DH,1886381382.0147097,298.8,108,6313190.702860474,-464016.71818969306,-6.846724459818743
