year,n_teams,corr_attendance,corr_wins,rationality_score,avg_dollars_per_war
2000,30,0.5581973790342044,0.06849680731789644,0.3133470931760504,1272607.0703473275
2001,30,0.41755419784514125,0.023802130356283868,0.22067816410071256,1389161.6524886969
2002,30,0.4723422028794095,0.04130399239694431,0.2568230976381769,1532710.4514928237
2003,30,0.44913911463125955,-0.05885771114735695,0.25399841288930824,1537270.4406142386
2004,30,0.41680520172263175,0.08186189305514019,0.24933354738888597,1547991.9437838262
2005,30,0.6600991777773133,0.1939273095589326,0.42701324366812293,1630328.5898374256
2006,30,0.8415871234558979,0.4070124617557716,0.6242997926058348,1700028.0733075042
2007,30,0.7527206885989333,0.21651695944767882,0.484618824023306,1907740.590761973
2008,30,0.692206164385998,0.16356204094948149,0.42788410266773974,1828747.8089650508
2009,30,0.5035121941838173,0.033324170939985916,0.26841818256190164,1933316.8086346474
2010,30,0.6130508778269677,0.20831663563363945,0.41068375673030355,1852902.7361645252
2011,30,0.6022214133442206,-0.1431704134716538,0.37269591340793723,1994928.8354348138
2012,30,0.6036806452627596,-0.06183074872013666,0.33275569699144814,2155977.393024336
2013,30,0.6162975275545604,0.11492010046140265,0.3656088140079815,2189066.5123618385
2014,30,0.6301822050002641,-0.026270731245830084,0.3282264681230471,2398780.339408116
2015,30,0.5459725935647596,0.13024238812978864,0.3381074908472741,2654176.87926322
2016,30,0.5647119703514515,0.42388429310983977,0.49429813173064563,2690633.640618961
