year,gamma_mean,gamma_sd,gamma_ci_lower,gamma_ci_upper
2010,-0.3803407677906629,0.06779803478004037,-0.5101633726491661,-0.2567272330830264
2011,-0.36647192728971595,0.06905522407294983,-0.49774620968312255,-0.23637754879903322
2012,-0.22278961333795977,0.06736602803294997,-0.3473803239555716,-0.10085713928494927
2013,-0.1814106000809377,0.06832810700654983,-0.3098031119044986,-0.05794257214617001
2014,-0.13498907428886459,0.06692894614390864,-0.26003671882302815,-0.017931352563467437
2015,-0.10641525421410654,0.06681454604178186,-0.2274215628801916,0.016072980023765594
2016,0.02022717986042843,0.06629177422705268,-0.09831828008854757,0.14405172361445598
2017,0.06324929950550442,0.067280687133393,-0.05863407469507395,0.18844680102457367
2018,0.030727272742659233,0.06751554049288513,-0.09474753309344251,0.15158483192248554
2019,0.13362641011376858,0.06612960364173813,0.0066730845901373115,0.25011165162094995
2020,0.05231288923888724,0.06908117825175548,-0.07089388486244874,0.177416899378312
2021,0.14862177931707687,0.06600613587351699,0.029180104351422244,0.27079359912398054
2022,0.149020295297217,0.06708218215841076,0.028692460936910878,0.2729596581724042
2023,0.18236675655123313,0.06566824395644975,0.059917938816766714,0.2998451949901257
2024,0.18845120182146402,0.06641195792698636,0.06781944217524208,0.30821498558506116
