outs,base_state,inning,score,n_opportunities,break_even_mean,break_even_std,actual_attempt_rate,optimal_attempt_rate,gap
0,1,early,losing,519,0.7150000000000001,1.1112941517673203e-16,0.007707129094412331,1.0,0.9922928709055877
0,1,early,close,5982,0.7150000000000002,2.220631666475235e-16,0.018555667001003008,0.9998328318288198,0.9812771648278168
0,1,early,winning,375,0.715,0.0,0.005333333333333333,1.0,0.9946666666666667
0,1,middle,losing,1379,0.715,0.0,0.005801305293691081,1.0,0.994198694706309
0,1,middle,close,4338,0.7150080682342093,0.0005314021051199903,0.011526048870447211,1.0,0.9884739511295528
0,1,middle,winning,1145,0.715,0.0,0.010480349344978166,1.0,0.9895196506550218
0,1,late,losing,1819,0.7149999999999999,1.1105283245139538e-16,0.0021990104452996153,1.0,0.9978009895547004
0,1,late,close,3151,0.7149999999999999,1.11039923651812e-16,0.014598540145985401,1.0,0.9854014598540146
0,1,late,winning,1390,0.715,0.0,0.012949640287769784,1.0,0.9870503597122302
0,2,early,losing,118,0.7150000000000002,2.229914945295471e-16,0.0,1.0,1.0
0,2,early,close,1501,0.7150932711525649,0.0018049823708540598,0.002664890073284477,1.0,0.9973351099267155
0,2,early,winning,131,0.7150000000000001,1.1144849329051095e-16,0.0,1.0,1.0
0,2,middle,losing,314,0.715,0.0,0.0,1.0,1.0
0,2,middle,close,1104,0.7150317028985507,0.0010533762145004818,0.0009057971014492754,1.0,0.9990942028985508
0,2,middle,winning,364,0.715,0.0,0.0,1.0,1.0
0,2,late,losing,427,0.715,0.0,0.0,1.0,1.0
0,2,late,close,1775,0.7150591549295775,0.0014380849591435752,0.0016901408450704226,1.0,0.9983098591549295
0,2,late,winning,357,0.715,0.0,0.0,1.0,1.0
0,1-2,early,losing,152,0.715,0.0,0.0,1.0,1.0
0,1-2,early,close,1813,0.7150772200772201,0.0016426283905235117,0.002206287920573635,1.0,0.9977937120794264
0,1-2,early,winning,150,0.7150000000000001,1.1139423751593565e-16,0.0,1.0,1.0
0,1-2,middle,losing,363,0.7150000000000001,1.1117554242842858e-16,0.0,1.0,1.0
0,1-2,middle,close,1349,0.7150259451445514,0.0009529323477053284,0.0007412898443291327,1.0,0.9992587101556709
0,1-2,middle,winning,430,0.7150813953488372,0.001687849877596444,0.002325581395348837,1.0,0.9976744186046511
0,1-2,late,losing,543,0.715,0.0,0.0,1.0,1.0
0,1-2,late,close,1237,0.7150848827809215,0.001722234030269639,0.002425222312045271,1.0,0.9975747776879548
0,1-2,late,winning,544,0.715,0.0,0.0,1.0,1.0
1,1,early,losing,607,0.726,0.0,0.008237232289950576,0.9934102141680395,0.985172981878089
1,1,early,close,7190,0.7259999999999999,1.1103002387313544e-16,0.017246175243393603,0.9834492350486788,0.9662030598052852
1,1,early,winning,592,0.7260000000000001,1.1111619026150385e-16,0.010135135135135136,0.9898648648648649,0.9797297297297298
1,1,middle,losing,1596,0.726,0.0,0.006892230576441102,0.9993734335839599,0.9924812030075189
1,1,middle,close,5123,0.726,0.0,0.019129416357602968,0.9871169236775327,0.9679875073199297
1,1,middle,winning,1525,0.7260000000000001,1.1105872112922015e-16,0.01377049180327869,0.9895081967213115,0.9757377049180328
1,1,late,losing,2311,0.726,0.0,0.0025962786672436176,1.0,0.9974037213327563
1,1,late,close,3803,0.7259999999999998,2.220738040315978e-16,0.016828819353142257,0.9989481987904286,0.9821193794372863
1,1,late,winning,1698,0.7259999999999999,1.1105500898921205e-16,0.011778563015312132,0.9946996466431095,0.9829210836277974
1,2,early,losing,186,0.7259354838709677,0.0006204871950313788,0.010752688172043012,1.0,0.989247311827957
1,2,early,close,2339,0.7259769132107738,0.0003715464373157555,0.003847798204360838,1.0,0.9961522017956391
1,2,early,winning,310,0.726,0.0,0.0,1.0,1.0
1,2,middle,losing,472,0.7259999999999999,1.1114009804202914e-16,0.0,1.0,1.0
1,2,middle,close,1825,0.7259901369863012,0.00024313205042479204,0.0016438356164383563,1.0,0.9983561643835617
1,2,middle,winning,688,0.7259999999999999,1.1110307533785104e-16,0.0,1.0,1.0
1,2,late,losing,622,0.726,0.0,0.0,1.0,1.0
1,2,late,close,1809,0.7259867330016584,0.00028190407429063525,0.002211166390270868,1.0,0.9977888336097291
1,2,late,winning,712,0.7259915730337078,0.00022485950669875866,0.0014044943820224719,1.0,0.9985955056179775
1,1-2,early,losing,211,0.7259715639810426,0.00041305703449290884,0.004739336492890996,1.0,0.995260663507109
1,1-2,early,close,3007,0.7259740605254406,0.00039372013229742813,0.004655803126039242,1.0,0.9953441968739608
1,1-2,early,winning,293,0.7259590443686006,0.0004948658750874382,0.006825938566552901,1.0,0.9931740614334471
1,1-2,middle,losing,592,0.7260000000000001,1.1111619026150385e-16,0.0,1.0,1.0
1,1-2,middle,close,2250,0.7259813333333333,0.0003342172953836631,0.003111111111111111,1.0,0.9968888888888889
1,1-2,middle,winning,757,0.7259762219286658,0.0003772147906717955,0.003963011889035667,1.0,0.9960369881109643
1,1-2,late,losing,893,0.7259999999999999,1.1108451726283848e-16,0.0,1.0,1.0
1,1-2,late,close,1922,0.725965660770031,0.0004527282159220509,0.005723204994797087,1.0,0.9942767950052029
1,1-2,late,winning,926,0.7259805615550754,0.00034114292477757093,0.0032397408207343412,1.0,0.9967602591792657
